RV Type,Manufacturer,Model Name,Trim,Leveling System,Year,Product,Pack,URL,Product Handle,SKU,Notes,Status,Status
Class C,Coachmen,Leprechaun,260DS,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class C,Coachmen,Leprechaun,260DS,Bigfoot,2020,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class C,Coachmen,Leprechaun,280SS,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class C,Coachmen,Leprechaun,311FS,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class C,Coachmen,Leprechaun,311FS,Bigfoot,2020,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class C,Coachmen,Leprechaun,319MB,Bigfoot,2018,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class C,Coachmen,Leprechaun,319MB,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class C,Coachmen,Leprechaun,319MBF,Bigfoot,2019,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,Sale,
Class A,Coachmen,Mirada,29FW,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,29FW,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,32DS,LCI/Lippert,2012,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,32DS,LCI/Lippert,2013,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,32SS,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,32SS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,32UD,LCI/Lippert,2014,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,34BH,LCI/Lippert,2015,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35OS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35BH,LCI/Lippert,2011,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,35BH,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35BH,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,35BHF,LCI/Lippert,2020,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,35KB,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,35LS,LCI/Lippert,2015,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35LS,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35LS,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,35OS,LCI/Lippert,2020,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,36BH,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada,37LS,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada,37TB,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Mirada Select,37LS,LCI/Lippert,2017,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Mirada Select,37TB,LCI/Lippert,2017,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pathfinder,384TS,Power Gear,2007,PRIME,4 Pack,https://rvsnappad.com/collections/prime/products/prime-4-pack,prime-4-pack,PRSP4,,,
Class C,Coachmen,Prism,2200FS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class C,Coachmen,Prism,2200LE,Bigfoot,2018,BF 7,4 Pack,https://rvsnappad.com/collections/bf/products/bf-7-4-pack,bf-7-4-pack,BF7SP4,,,
Class A,Coachmen,Pursuit,27KB,LCI/Lippert,2015,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,29SBP,LCI/Lippert,2015,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,29SS,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,29SS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,29SSPF,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Pursuit,30FW,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,30FW,LCI/Lippert,2017,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Pursuit,31BD,LCI/Lippert,2015,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,31BD,LCI/Lippert,2017,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,31FW,LCI/Lippert,2016,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Class A,Coachmen,Pursuit,32WC,LCI/Lippert,2018,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Class A,Coachmen,Pursuit,32WC,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
